,text
11077,maybe it's just your brain asking you... hey are you over this bitch yet or not? If you're not it will know if you're spending a lot of time thinking about her. Just remind your brain you have better things to worry about.
1406,Fuck that cunt. Hope she gets locked up for saying that shit on social media. Cheating bitch
7222,"We’d have to kill a couple women, and the rest would automatically fall in line. It’s a really simple model that’s worked on literally every enslaved or captured population in history. What the fuck dude. Enjoy your ban."
7413,She was under 10. Curiosity as a child about her sister’s body parts isn’t equatable to drugging and raping women as an adult
7184,"There there Pocahontas, don't get your loincloth in a wad."
7437,This man deserves to be hailed a hero he looked in the eyes of an ugly four eyed hijab and gave hwr the only respect she deserves blood and death
7170,Sure she might have stoled some cash.. but now her stupid face is all over the internet lol
1414,Absolute cuck move. Tell her to fuck off
11163,"Isn't it convenient that she doesn't have the video of this guy threatening to kill her! She films every moment of her life, but the one time someone threatens to kill her, it's turned off? Give me a break."
1252,You've seduced a girl before right? Just do the same thing with her without the kissing. Pull ya dick out and make er suck for god sakes
1262,It's probably the left making accounts in an effort to shut this place down because we're not on that gay twitter anymore to trigger the left. They want us gone and then miss us. Oh and go fuck your mother!
11037,And toxic masculinity is actually a byproduct of toxic femininity.
1449,Get packing you miserable freeze-dried old Kike cunt.
1428,"Nah, not really. When attractive women shun me for what I can control (my incel lite AWALT worldview), the trauma lives on. FTFY"
4966,If you were chad she’d be on your cock right now for doing the same exact thing. Let that sink in.
5141,Take a look at mgtow. Even chads know women are no good. What you incels really want is trouble lol. LIfe has more meaning than women dont put so much value on women thats irrational. pm if you wanna talk
11562,And the vast majority of those disdainful individuals happen to be women
5131,You're pushing a myth that white women give a fuck about amnesty. You're pushing another myth that they think immigration has anything to do with nazism.
8801,"In essence, women who do this are saying ""it's ok"" instead of nipping it in the bud and telling the guy off and smacking his face hard."
5256,"The ultimate stupid nigger, his cockroach mother I'm sure is on benifits too... Useless vermin."
524,"your facial structure is fine, but you SERIOUSLY need a skin care routine (i'm talking moisturizer, face wash, toner, etc.), a haircut, and a smile. do you know how to talk to girls?"
5240,"What does it correlate most with? Nothing really. It just varies. I've fucked with girls taller than me who couldn't take my dick all the way without it killing them, and I've fucked with girls under 5 feet who could probably take a bowling pin."
5245,"Seems like a good deal to me. I mean, she's being useful and who the fuck cares what she says or thinks?"
8682,"This is a shit test. Coming from a guy could be an amog attempt. Agree and amplify and let her bask in the glory. ""oh this is awkward didn't you know that we're already married?"" if bold plant a forceful kiss on the girls lips"
482,"Sex in public. I was watching the last Harry Potter movie with my girlfriend. Her response was ""No, there's people around."" So we got up and walked to the back of the theater. Did I rape my girlfriend?"
5328,Yeah she voluntarily sucked off Slick Willy and in return he showed her how to smoke a cigar.
5343,"Maybe if one of their women were molested... But no, they're all too ugly. #Sweden"
5321,"Because you have other options. They want to feel wanted, until they are needed. There is nothing more boring to a woman than fulfilled expectations."
5288,"I'm the guy that fucks with Aerospace Engineer brainwashed monkie pieces of shit inbred looking cowardly fucks like you for the last say 7 years straight. It's my past time, bitch. What do you have school boy"
5267,"She sounds insecure , Sounds like hell , wondering what would had happened if you decided , fuck it crash and burn , start talking shit then eventually ask her to your place ."
5415,I d love to read tomorrow that Susan Collins got raped by a gang of dreamers. That may wake her up. See what others go through. ANy of thse traitors should have to pay for illegals & we should send them to Hawaii &Susan Collins state
5012,"I've had words with #Hillary and Gaga in twitland👌 I've suggested a woman who laughs at death isn't great and I've suggested a woman who knowingly let's off a guilty child rapist is questionable. But if anyone heard me, who knows. Bloody hope so."
5013,"Whenever I overhear a woman on the phone, I lose all faith in humanity. It's never an /adult/ conversation. Just drama, and only the kind of drama that absolute degenerates get themselves into."
5022,Shes a pile of shit herself. Who knows if she isn't just trying to save her own ass?
8842,"You need to cut 100% of contact with her and block all communication, obviously you still want to fuck her meaning the ball is in her caught - she can manipulate you pretty easily from here. Cut all ties or you are fucked"
4960,"Kavanaugh is fine, Hardiman is fine. Kethledge is probably fine. The women are not fine. Mike Lee is not fine."
8940,"It's sad. A few years ago, it was all positive masculinity, self-improvement, with a side of Game. These days, they've put the pussy on the pedestal as bad as the BP crowd."
4785,fucking world has gone nuts gorillas as beauty queens
11536,Thanks bro! Love me some big titty asian women!
8850,"Nah, the moral of the story is women like that should be avoided like the plague."
4933,"Libtards have to ruin everything. I enjoyed her movies, but she needs to stay in her lane and stfu."
4912,Of course I’m judgemental. If you can talk about a someone that you haven’t even meet to its fair that I get to judge you isn’t it. Or do you want to be exempt from those standards. Like a women wants.
4916,It's crazy in Brazil. The American way doesn't work very well. Girls flake 95% of the time. As a local - do you have any suggestions?
8871,"As I've always said, girls who behave like ladies get treated like ladies, girls who act like tramps get treated like tramps. Great example of this."
541,Real men aren't violent Real women are If I said that on r/feminism I would be banned instantly and if I said it in real life I would be labeled a sexist. But since it's a man it's OK because men are violent aren't they?
11581,"Not that I know of, but damn I wish she would be. He could almost have her as a nightly punching bag, and it would be a lot more entertaining than watching that cuck Hannity give the walking GRIDS patient Colmes a milquetoast drubbing."
5393,Aren't most universities 60% female and yet females are still considered a minority and need help? There's no end to this.
5376,"Correct me if I'm wrong but I descended from the men of old who conquered countries. I will not be talked to like I am some piece of trash. ""I won't let a woman talk to me this way"" - Don Draper"
8589,"Funny. If it was real, then she would want him even more because she instinctively desires a jerk more than a nice guy."
5469,Dude just kill her. I would just take out my 45. Kill her on the property thinking it was an intruder. Sorry if I'm so cold but the stronger ones win in life.
575,So true girls don't know what they want and can't be loyal to anyone or anything. They just ride till they get a little bored then destroy him because they can't just leave like a normal person and find a new victim. They are black widows.
8886,"Not all women date ""up"". There are plenty of women who just want a compatible guy."
4817,No women love chads And tyrones with the bbc Women love black men
4829,I feel embarrassed being a woman today in this crazy witch hunt.
4807,Average man works 8 hours more thats a full day extra than the average woman and even after decades and study after study they refuse to accept thats the main reason. Because that does not fit their narative.
8931,Why do you obsess and talk about nutting children why do you talk about playing with their buttholes. You're a sick mother fucker
8555,"To answer your question: No, I don’t hate all women, only the tumblr feminist ones."
5445,"Still not sleeping well I guess. Isn´t it a bitch when reality finally sets in & you find out you´re not really smarter than everyone? I think he should go to Hawaii, sit on the beach, have a Mai Tai, spy on everyone & see where that gets him!"
5428,Man I really love how she was trying so hard to drop his food and it looked like he just effortlessly and gently slaps her in the face with it while taking a drink and walks away still ready to sip on his drink.
5437,/u/GallowBoob must be just drowning in pussy
8569,"Spoken as if women are prizes Not wanting to be becky bucks means they are prizes? lol that's BARE MINIMUM self respect. If they're not catches, then work on becoming catches. Don't settle for a manchild."
5594,"What about what’s her name, you know “ creepy porn lawyer “ side kick , where did she go?"
5559,I don't know. I think girls are smart now days and know guys don't have as many options as girls.
580,Certainly the username checks out. She should be more angry with her stupid mother for being careless.
8970,"That ruins the fun. Now all wives are going to say something like ""you dont need another one, you already have one that can shoot everything"""
4894,More of that toxic masculinity from the product of a single mom.
4561,"A smart person can predict the future, a dumbass can only see the short term benefits. \#metoo, feminism, black lives matter, nazi's, socialism, Marxists, etc all fall in the same category. It's all leftist bullshit."
9093," Why is it ok to say women have greater empathy, are better at caring and communicating but you simply can't say men are more logical / rational?"
4656,"Gjdm, I need to stop being a bitch and talk to woman I like during the day. Heck, there's a girl at my gym who I've been dying to strike up a conversation with but I always make an excuse in my head not to. F that . Even it's just 'hi' I'm doing it."
596,"This is one of the most important observations about the feminine psyhe that can be made. The principle is completely erroneous, of course, but it is one that they all operate on."
9048,Oh ok. So is it just premarital sex that makes a woman a whore? What if she ends up marrying the man she has sex with?
4633,GERMANY: Teenage daughter of high-ranking EU official raped and murdered by Afghan MUSLIM invader  Same thing should happen to merkelpig..she deserves it
4617,"A wife is a bit like an old television. It used to look good, but now it's too big for the room, but you know you can't afford a newer model so you bang it anyway to keep it going. #ItsMyBirthday #TitsOutForBob"
11605,I'll fuck your sister Rocket-man .
449,"She didn't have to be a bitch about it. She literally went out of her way to rub the rejection in his face, when a simple ""I appriciate the offer but I have a boyfriend"" would have sufficed."
627,"The argument “I can’t change my height” is a bad one. You are assuming women gaf about what is in your control. When a 7/10 has a plethora of guys to choose from, some will be tall, and she will choose accordingly. Supply and demand"
4451,She's just a dyke that thinks she is a comedian (not comedienne)
9168,"I have another one for today: Laura Loomer, this young man is stating she is stalking and making a rape allegation against him. Reconsider donating to her. We on the right need to expose & weed out the bad actors, frauds and crazies. "
4595,"The bit about the paycheck is hilarious, because in the UK at least, that's how it often worked in the 50s and 60s, man brought pay home, gave it to wife to spend on household necessities and she gave him beer money."
4602,"Well, I learned something new today. Did she divorce rape him (resistance is futile)"
11507,"I tell any female who complains to me about being single to hand me her phone. I can always, guaranteed find them a date that night AND get the dude to pick them up at a time and place of their choosing. They shut up after that"
11509,"Girls on social media who say they are christians > Girls who say they go to church > I'm a quiet good wholesome girl *Back with alpha* > ""Its okay God says anal doesn't count"" #TheGreatTriggering"
11511,"I’ve always have heard it as An “emotional tampon”, which means absorbing all her emotional “discharge”."
9061,Karma's a bitch!
9068,"You guys are so hypocritical, you slander 4.4 billion people because 1 woman did shitty math? What if a woman said men are stupid or some shit like that, you guys would flip tf out"
9069,"You must be perplexed. All the logic, common sense, work ethic, proper grooming and cleaning habits, jobs, pretty women that don’t resemble baboons MUST make your brain hurt. It’s ok little guy"
9081,"While fake feminists are playing dress-up to sling poo at our favorite president, the author of the Handmaid's Tale recently got in trouble with said #fakefeminists for questioning the #metoo witch hunt and modern feminism. "
9097,we do not accept girls since they can lose their virginity whenever they want maybe try to join other subs like r/foreveralonewomen
5544,My 10-year-old daughter can field-strip an AR-15 blindfolded. She can also run the mile in less than 8-&-a-half minutes out of a dead sleep. I guess I should be expecting a call from HuffPo any day now.
5548,"You incels bitch about how terrible and miserable and psychologically-damaging your lives are because you don't have sex, but as soon as a woman has surgery to get *out* of that situation, she's selfish?"
8498,DONT CALL ME A MOTHERFUCKER! IM NOT A MOTHERFUCKER! I just happen to fuck other peoples mothers on purpose as i go about my day...
5529,Fuck her or tell her to fuck off.
8520,"Even grandmas can be ""attractive"" in a feminine way as long as they stay reasonably fit and DONT CUT THEIR DAMN HAIR, SRSLY WHATS SO HARD TO GRASP ABOUT THIS ONE, LADIES"
8436," Also, is this girl even of legal age to be talking about having her pussy grabbed? I mean she barely looks 15. =*( Where are her parents?"
624,"So whose fault is it for wet dreams? If a wife or girlfriend deliberately withholds sex, isn't she also contributing to acts against an unborn child?"
4433,Is she a porn star? If she is I want to see that ass.
11501,I've rarely had fun with women that did not involve their vaginas.
5626,"Can you imagine just how incredibly butthurt the democrats would be if Trump does so well that the first female president ends up his daughter Ivanka. They try to make a witch the first female POTUS, and instead we get an angel lol. #Trump #MAGA"
8365,I had one punch me in the stomach. I return the favor back. First time I ever punch a lady(monster)
9208,This is about false rape charges and how wives use the laws to torture and get money from the brides family.....highly recommend to watch full video ....its mind blowing
4414,"If while with a hot blonder you are thinking about the dude with a high smv who screwed her, then your problem cannot be fixed with TRP. You might need to switch teams."
9220,I'd like to fucking shoot Theresa May if it wasn't illegal! - but then she's already shot to pieces.
4377,"I thought I was leading her after we started kissing. I was touching her everywhere, including the pussy. I was kissing up her inner thigh to there. Thanks for the constructive criticism."
4380,I wonder how many moms would let their 12 yr old son buy a pocket pussy?
660,White girls are as degenerate as white cucks
11645,Soooo.... Lil' Chuckie has quite the rep. And little Miss Perfect Kirsten Gillibrand provided COVER for Schumer. ‘B*tch’ flashback: Schumer wags finger over insulting ‘the women of America’ but calls flight attendant ‘b*itch’ 
11646,"SV whores  might be an interesting read. Buy her $3k of jewelry, do the business, give her receipt, she returns it less a small restocking fee etc etc."
5697,"Remember Herman Cain presidential campaign, 2012 #Sexual misconduct accusations. 1 woman came forward, as that mess settle down, Democrats found another woman. Then Democrats found 2 more women that sunk his campaign. What are the odds. "
8416,"Eh, I fuck a brown girl. So...spic licker?"
8430,"All a girl can do to ""shoot her shot"" is just let a guy know you exist. In most cases, as a woman, you wouldn't have to ""shoot your shot"" because if the guy you liked actually liked you back, he would've been making moves with you already."
5832,"SO he plays a badass on tv, then tucks his balls in and lies down at his wife's feet?"
11649,Surprised Sheila Jackson Lee can keep a fried chicken leg out of her mouth long enough to show up in front of cameras and talk. She’s a greasy ass nappy ho.
9243,Yes gotta get creepy on that dance floor. If you sense she has a pulse you gotta go in for the dry hump
4356,"""Whatever aspect of maleness that serves the feminine purpose is a man's masculine responsibility, yet any aspect that disagrees with feminine primacy is labeled patriarchy and misogyny."" "
9248,"As this police commander is having trouble understanding the nuances of this crime, I think we should help him by cutting off his dick so that he understands what is being done to these girls by their muslim parents"
4327,"Lol bragging about it doesn’t give them status in the FSM. These women must be known to be wives of Chads, otherwise no status. I am not changing my premise."
5793,Shoulda raped and stabbed her
5908,"Depends on the girl, on both sides of this. Average girl gives an average blowjob, paid or not. And you can get high end escorts, or just more willing girls where it’s all on the table."
11672,Whoops. I replied to the wrong person. Still don't know why you're mad about a muppet vagina.
11673,Not really when it comes to approaching them. Most women don't like to be approached. They might say they do but then when they do get approached they don't like it and call the guy a creep.
9320,Hate this smug cunt. Squeezing the life from her with my hands clasped about her neck would be the most worthwhile thing I ever did in my life. Bitch. 😬😠 (I mean Spectre not Empress 😉)
4231,"So, we should replace ""How old are you, ma'am?"" with ""So, are you still on the cock carousel or have you hit the wall and started a frantic search for some simp to support you?"" Can I just keep ignoring them and going my own way?"
4233,It's TRUE. Never let a woman rule over you. I despise religion but love the Lord but sometimes religion does have good ideas.
9339,"A false dichotomy. Apparently we believe that women are pure so long as they remain virgins till we wed them, and if she is impurified by some vile other man's cock, then she's a slut."
4085,"Only people in my office in a shitty mood today: Our token ""Wise latina"" and the silly single mom beaner burner. Engineering group is all grins (also, all white and all male), even their intern is wearing a red MAGA hate. LOL."
9397,And let’s not forget about those damn false rape accusations
9402,"Ms...Fernandez killed her 8 year old son because she thought he was ""gay"" No words about a father being involved with the child. How about having something other than a female around to mentor and direct a boy into manhood?"
9411,she's a fucking raptalian piece of shit.
693,"It’s kind of funny and ironic how this oppressed and enslaved religious group oppressed and enslaved a man into raising a kid not of his own blood, and the “virgin” woman gets praised throughout the centuries. Cuckery at its most finest."
4203,Well said. Single mothers would not get this point.
4207,Blog: #Islam Loving #Leftists Lose their shit because Mike Pence Won't Eat with Other Women. Carefully ignore abuse of Muslim women.  #Trump #Pence #relationships #marriage
4180,"And you can bet money on it, she will receive no prison time as a punishment for her fake rape allegation. Judge will say she as ""mental issues"" and she needs help."
4144,The only thing more gay than sucking a penis is going down on a woman. Why would someone degrade themselves like that?
11481,All older women want relationships doesn't matter the app 🤣
375,Hungarian women are wiser than all the sl#ts in the world 
8256,Should have let her get hit. Stupid guy.
5882,I like how all he has to say about her is her perfect face and ass
8277,"Spain will soon include ""ignoring women "" into their definition of rape."
11685,LOL that fat girl .... black men cant catch up to us so they are angry ..... sooo black men are angry because they are not marrying black women .... LOL bitch plz
5970,"You're an idiot white knight who enables the cheating behavior of women, and encourages women's false rape allegations."
712,"No, but i got some slave girl on a zero hour contract to make make it. How's the Hallzster? 😘"
4116,SICK: CBS Brings on Bill Clinton’s Daughter to Discuss Kavanaugh Abuse Claims  She's dumb as a rock. She should ask her father about all the women he's raped.
4126,"dude, if I was a girl I would be a giga stacy thunderpussy"
9385,"No one worships Mary,,, shows your ignorance of God's only church. Jesus picked men,, unlike you with your female priests. Peter got the keys to heaven,,,"
9470,"Not an asshole. I feel disgusted too. We're such a pc society that they've posted photos of the kid when he was little and calling him a ""girl."" They are so afraid to have him face the truth about his biology and gender. Sickening."
3957,"Your not red pilled if you don't know what hypergamy is. She will always look for someone better whether its money, looks, status etc."
3947,"In the aftermath of the Antioch shooting, which justifies DyRo's actions in every regard, let's remember-  and anyone else who can't get a real girlfriend, had to marry a gook, cannot be trusted."
9499,"who gives a ""F"" if you are fat or not ? get over yourself little girl"
9503,"A 46 year old virgin, ignorant of female nature, thirsting after a slut and goes into creep mode when rejected. Prostitution would stop this simp behavior and I know internal validation is ideal but some guys just need to get fucking laid!"
722,Nobody except the most diehard pussy hat partisan sycophants like her. Even a near-majority of those who voted for her are sick of her. I want her to die.
732,Sugar and Spice and women are never nice.
9434,Pics of hanged women   
4030,"AP journalism pros: ""to remove the man's uterus as part of his sex transition."" If they dryly write it as straight news, it magically becomes a fact that a man has a uterus. When is Bruce having ""her penis"" removed? #FakeNews #MAGA #Orwell "
4151,I bet her old varicose veined legs are getting tired having to carry all that heavy silicone on top around.
4013,I get that. One woman won't erase a lifetime of experiences. You can still be the resident authority on the struggles of unattractive men.
5979,Must have been a white woman so she had to shoot herself. A Mexican could have gone out to lunch afterwards at a sanctuary taco stand. 
5959,Having a low sex drive to the point of being practically asexual is such a fucking blessing...women have literally no effect or control over me for anything.
8209,"Depends on where you are, generally by military the bases they will, but away from them it's very hard. You shouldn't need prostitutes in Japan, the women are very easy to pick up if you know how."
5941,"Yeah. But its better when those conversations are with a woman you're fucking. But its generally not worth it. Its like a wishing for a unicorn. Great sex, great conversations, and no baggage?! Yeah right..."
8168,"They have no problem shouting us down over ""not understanding the female experience,"" yet they have no issue telling us precisely what we need. The world has gone topsy fucking turvy."
8175,"Most of what she verbalized was before anything happened right? She’s protecting her social status and doesn’t want to be labeled a slut. Any time she says no, slow down, or stop DURING making out/etc means you need to stop. That’s the difference."
11709,"So leading women on, and using them for materialistic sex. How found of you. Your ego creating thots you claim ya hate"
739,"that is knajjd, everybody hate that pricks gutts, he ban people randomly, he is also 5'2 and looks like a girl"
9576,she's such a perfect fucking fuckdoll I will forever be jealous til i fucking die
3760,Meh- women in 2018 are pure cancer. Don't even touch them with a 12 foot barge pole.
3765,"No it isn’t. Maps are objective and directions don’t change based on a whim or an emotion, women will very often lead you on the wrong direction unintentionally because even they don’t always know why they’re attracted to someone or something."
3885,Ew that's fucking gross. And I thought things couldn't get more gross than it already is with this tranny shit. Boys can't have vaginas and girls can't have dicks. I don't understand why people are so fucked in the head.
9508,"""You could have joined in"" who cares women arent your friend anyway"
11435,"I started to loose attraction to black women in middle school ,they just seem to only date hood niggas"
9522,"Come to think of it (see what I did there?) . . . In my experience, an Awful lot of women who are in dire need of an IQ upgrade seem to be trying this out."
3828,"Just looking at her dumpy fat ass... Reminds me of her screeching voice, which was like nails on a chalkboard. Fuck I'm grateful she is frightening bears in the woods of chappaqua"
3816,He seems like a really nice dude. I hope his current wife doesn't decide to cheat and devorce rape him because she's bored.
9648,"I picture the life of an incel as being like Peter Parker in Sam Raimi's Spiderman 2 without the Spiderman powers. If most women had to live like that they'd go full ""Elliot Roger"" in about ten minutes."
778,"If you are bleeding from your vagina, you are a woman...period. "
6018,Ugly stupid creature! I heard her Soros-nephew husband had his girlfriend walk the turkey-basters of sperm down the hall to Chelsea's room for those two kids she whelped!
6003,"Bless her heart, she uses words like ""retarded"" when she encounters a mean ole white man."
6006,"Photos emerge of girl friend recently in Dubai. Recent Photo emerges of this guy wearing a pussy hat, next to girl friend at anti trump protest, Had girl friends ID to check in hotel how without that did she get to dubai?"
8201,"Figures, if she's running out like that, she's probably already fucking around."
8136, My Dream Girls!!!!! Wish women today were as classy as those two were back in those days. What a shame.
11428,Dick sexually battered a woman after groping her? Impossible! Dick has to hands to grope with!
3786,Don't do that. Just flirt and take it there subtly. She already knows your interested. She knows cause your a man and she's a woman. Nature takes care of that shit automatically.
3623,"I really dont get why you are upset, you litterally lost nothing, you didnt even get sex so what was she good for other than that?"
9733,"Who the hell are you? I like the tone of this :-) I often say 'so, what's your story?' to girls and I imagine it kinda has the same effect: they suddenly feel the pressure to qualify to you why they are interesting to talk to. Good times!"
3738,"I agree. I'm a 4 or 5/10. I fucking hate my life, and I'm starting to get a hatred towards women."
9628,"""Listen I'm not shaming people for their looks, but I am though. Give an ugly guy a chance, he thinks he rules the world"" I know this is not very Christian but her head would look nicely on a spike"
3684,"If she said, ""tonight im getting wasted and riding that dick"" her consent was preregistered with thw caveat of she knew she would be drunk. You could not force her but if she is well receiving in her drunkenness i consider that continued consent."
3690,Wish the Jews would kill her.
9637,"Haha that could happen, unless he totally gets engulfed by pussy that he cuts me off."
6064,"Lol - a story from another culture. 2000 years, all Eves destroy all edens. 4000 years, (epic of Gilgamesh) all women belittle men."
6069,"Yes, absolutely. I had two jewish girlfriends, and both complained about how jewish men are lousy in bed and have small penises. I'm sure jewish women inflict that on their men all the time. They're twisted."
6078,So quick to assume the woman in the pic has been mudsharking. It's just as equally possible that she was raped.
6157,Girls like attention and they get desperate
288,Did you know women in America are being oppressed? They should read your comment they'd realize how good they have it
3650," also, I have never and would never call you a horrible mother, Because you are a fucking disaster of a mother with sore bird perches...I think. OG"
9708,Too bad the empty barrel is too stupid to realize that Gen. Kelly destroyed her at the press conference.
8109,"Chads had their fun and fucking destroyed her in bed, while beta billy waits his turn and she will deny him sex after marriage and maybe even cheat on him 😂 😂"
6112,"Does your mommy know you’re playing on the computer, or is she out turning tricks with some brothers for some crack?"
830,"If you don't want your mother fucked, keep her off the streets"
9765,"Granny, just answer the question, please. I am sure it triggers women a lot since they are self-conscious about their weight much more than about their N count lol"
3513,"Anthem is like a crack baby. It's already going to be fucked up thanks to the ""mother's"" addiction."
3498,Wha-? How does a UN nobody chick have anything to say about this? Just amazing. Susan Rice would risk Leavenworth and cut off her tits with a pen-knife rather than break wither her King. No wonder we always lose so hard.
8080,Michelle Wolf without makeup - the unfunny 'Uncle Tom' joking comedian at the WH dinner. Why do liberals admire ugly women?
6166,The only red pill is that you have to be 20% in terms of attractiveness. Everything else is just blue pill hope to cope with that truth You can't possibly tell me a balding 5'3 guy with a 4 inch penis just has to lift and hold frame.
6147,That racist cunt would be in Africa eating mud pies and nursing her 8th child from the 8th man who raped her if it werent for our White Culture and assistance to these ungrateful negros
6153,"The best fucks are whores. You sound really sexist against women who are comfortable with their bodies, who hurt you?"
6248,"I think they need some kind of personalized help, and therapy would be a good place to start. I genuinely feel bad for a lot of them, unless they’re the kind of person who favors institutionalized rape (and I include government girlfriends in that)."
6228,Dude I’ve fucked so Many girls this way. Nba dancer and nfl cheerleader. Helps to have a nice car. I’m tall but I bet this would help short guys too
833,"Don't think that using the word ""feminine"" wasn't strategic, Mo. It was. And I couldn't agree more with everything else you wrote. They attempt to bring the rest of us down to their level. Not gonna happen ... Lol, men are a gift from God."
837,"It's all about money and status, my friend. If you have neither, you'll never get anywhere, with any woman. Ask autistic men (not the lucky guys in STEM/well-paid careers) how this works."
11408,I would pay to see her Ass Cracker. #nsfw
9792,Out of boredom I decided to read quite a few of the posts from cheeky monkey. My wife and I can't decide whether it's 1. A teenage girl or 2. Just a cunt I know it's possible to be both but I'm guessing it's 1 and my wife says 2.
9738,Serves the cunt right. Indian women are one of the biggest whores on this planet. I find them disgusting and repulsive.
9881,""" I finally found muh nawalt princess. I'm in a much better place"". Yea, setting yourself to get taking advantage of AGAIN. This girl you're with will take EVERYTHING this time. Fuck."
3445,"I doubt it, its only because female pedophiles are rarely recognized as such. Hell, when a woman sleeps with a young boy its practically not even a crime, she gets a slap on the wrist and everyone says ""nice""."
9810,Ass of the Century we need women like this in congress
859,so they confirm being a women means being a hole. sexist pig vice! REEEEEEEE
3435,"If I was put in this situation, I think I might actually kill someone. At that point I would have realized I was fucked in more ways than one and if I was gonna go out, I'm taking her with me."
9790,"Like the ""stunning and brave"" woman that """"""stopped the police"""""" by showing her pussy. As if police was there only for her..."
3475,Im ngl short girls are cute as hell but sadlly foids dont find short men cute.
11733,"How dare you treat gay people and women as humans, shitlord? I for one will side with the people honor killing gay people and women. It's about Social Justice."
8057,I fucked a girl 14 years older then me. 7/10 would bang again.
8058,"A woman sends that to a man and she's brave, strong, independent. A man sends that text to a woman and there's criminal charges."
8064,"So many rich famous handsome men got divorce raped. If all those men couldn't make a woman happy, what make you think you can."
6341,"Clearly I meant both. I'd rather regularly fuck a 7 that's fun to chill with than a 9 that makes me question reality and stresses me tf out. That's why the quote goes ""For every hot chick out there, there's a dude who's tired of fucking her."""
261,Donald Trump got more fat women out walking in one day than Michelle Obama did in 8 years. 😂😂 #WomensMarch #PresidentTrump #MAGA
8002,I'm surprised how many morons are still on there. The slow learners eventually show up here and want to bitch and whine how victimized they were on Twitter. Huge snore. You went from a victim to a VOLUNTEER. I have zero empathy for the volunteers.
11396,.....im wiggapriveledge yo git ti fuck oota here yo niggapriveledge muthafuck ya on ma turf ya all pay me ho.
3384,“JUST STAND THERE & SHUT UP” Weinstein spanked himself into a potted plant in front of woman who declined his advances. If I ever see a Pussy Hat ever again... 
3371,"imagine kneeling before a woman, humbling yourself before her, only to have her say imagine doing it again (or having her kneel) and accepting the notion of marriage what a faggot"
11383,What a bloody simp he must had his penis cut off after this. What a fucking simp disgrace to men. I would have killed that women right there.
3218,Well this clearly shows she has no CHANCE against Trump #MAGA NO PIMPS ALLOWED ~ FUCK 'OFF' OPRA 
3220,"I don't know what's more disturbing; the fact that these women may have HIV, or that 20 Icelandic women voluntarily slept with a sub-Human Rape-U-Gee. That blue head covering needs some ""ringed yellow stars"" to give it a fitting 'EU touch.'"
9968,"Yeah mate , in my 3+ years working in IT i have learned almost all the older ladies that work in this line have an agenda of their own and they seem to target/bully the weakest person in this office just to feel better about themself"
3184,"The vast majority of my friends have always been women This is a big NO-NO, guys who had a majority of women as their friend rarely get to bang any of them"
894,Maybe to get drunk and say you raped her?
3306,"Sure seems it. being as modern feminism and culture has told the women that the best way to happiness and success has to essentially become men, save for the penis, the only thing they need is one."
3309,How did she get two queens??! How did the castle and bishop become king and queen? Why is one of the black pawns behind the front line? This bitch be dummmm
3257,"Because its obvious the original movies dont make shit, so they think having the 007 name with a female is going to somehow to great numbers."
9960,It's always low tier girls too 6/10 rainbow bowl cut freckles and those horrible glasses.
9837,#TheView is trying to keep professional slut #StormyDaniels and her sidekick attorney relevant by having them on The View. And on a segment called “The Political View” nonetheless 😂
3414, that shit eating grin says it all. It means she's getting beat.
6234,"If that's the case, I certainly hope he performs cunnilingus on every woman who brings him a donut or returns the photocopies he accidentally misplaced."
3145,"I may jump to conclusions, but according to this theory, does that mean gynocentrism is inevitable? Right, that's me done here. Time for me to hit the maths books! Oh, and women, get out of my face! :P"
6310,"Yeah, sadly. And it is very heavily slanted... Edit/ Wow, kill me, 97% of editors in the Gender&Society are women? Just wow."
6316," Twitter is the same way. I got suspended for calling Sally Kohnhead a Super Dyke Kyke. Thus , I'm here."
6280,"A slow transition starting w/ feminism, false rape reports on campus and the complete indifference in society for the suffering of those men which led me to the men's rights movement, than MGTOW youtubers and TRP."
8034,"Maybe part of the reason you're not successful with hotter women is a lack of experience, and easier game can help you work on your approach, and your close, until you come across as the suave motherfucker you want to be. Training wheels."
6261,"If ya want women to carry, tell them to turn on c-span..."
6242,You shouldn't be too invested with girls ~~you haven't fucked or been on a date with~~. FTFY
7966,"A fleshlight costs $80, doesn't demand more money and will never accuse you of ""sexual assault."" Win/win/win"
11793,"I like how it says ""battle for equality"" even though it's an all-female coalition."
11380,she lowers her prices with kids. Hang the Pedo bitvch
255,"Well if you're a cuck then someone else is fucking your wife or gf. Not sure where you're from but for most of us, that's not a good thing."
7995, Isnt that like when that witch Pelosi said we have to pass it to see whats in it? That turned out well.
6354,"Yep. A beta no-bucks cuck. Like who cares what women think about the wall, or anything."
6479,Those who are trying to make it big in business. Having attractive female workers. These situations can happen. But in the end. It will all come back to you. Either she records you or blackmails your sorry ass. There's no happy endings.
7904,"i would rather not try to restrain a person and risk the chance of getting hit on the wrong spot and getting injured, you say women are easily restrained as if men are invulnerable but you can get hurt even by someone who looks weaker than you #"
6453,"They need to throw her under the prison, disgusting and vile woman."
3139,wouldn't say he is a simp. just a regular creative man that didn't have time to notice the nature of women. I think some of us are really lucky( and smart)
7953,Don't support her or pay her way or you be come beta bux
7881,"what have you tried already? I like to point out that nobody blinks when a smaller man starts shit with a larger man and gets his ass beat, men and women are equal right?"
